ID	중섭명	한섭명	중섭설명	한섭설명
503	综合生存训练	종합 생존 훈련		
504	综合防御训练	종합 방어 훈련		
505	野战特训	야전 특훈	所有弓兵和刺客，在拥有“防御增强”效果的地形上战斗时，攻防提升<color=#DC143C>{P0}</color>。	모든 궁병과 암살자는 '방어 상승' 효과가 있는 지형에서 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
509	综合攻击训练	종합 공격 훈련		
510	强化生存训练	강화 생존 훈련		
517	强化攻击训练	강화 공격 훈련		
518	强化防御训练	강화 방어 훈련		
522	暗影打击	그림자 타격	所有弓兵和刺客，在攻击<color=#DC143C>{P0}</color>生命值的部队时，攻防提升<color=#DC143C>{P1}</color>。	모든 궁병과 암살자는 생명 <color=#DC143C>{P0}</color>인 부대 공격 시, 공격, 방어 <color=#DC143C>+{P1}</color>
525	核心攻击训练	핵심 공격 훈련		
526	核心防御训练	핵심 방어 훈련		
527	核心生存训练	핵심 생존 훈련		
528	杀戮气息	살육의 기운	所有刺客，在攻击<color=#DC143C>{P0}</color>生命值的敌军时，造成伤害提升<color=#DC143C>{P1}</color>。	모든 암살자는 생명이 <color=#DC143C>{P0}</color>인 적을 공격 시, 주는 피해 <color=#DC143C>+{P1}</color>
529	密林游侠	밀림 레인저	所有弓兵，对飞兵战斗时，攻防<color=#DC143C>{P0}</color>。同时在拥有“防御增强”效果的地形上战斗时，伤害提升<color=#DC143C>{P1}</color>。	모든 궁병은 비병과 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>. '방어 상승' 효과가 있는 지형에서 전투 시, 주는 피해 <color=#DC143C>+{P1}</color>
533	联合攻击训练	연계 공격 훈련		
534	联合防御训练	연계 방어 훈련		
535	联合生存训练	연계 생존 훈련		
536	对法特训	마법 극복 특훈	所有刺客，在与“法师”、“僧侣”部队交战时，双防提升<color=#DC143C>{P0}</color>。	모든 암살자는 마법사, 승려와 전투 시, 방어, 마방 <color=#DC143C>+{P0}</color>
537	闪转腾挪	영감	所有弓兵，被近战攻击进入战斗时，双防提升<color=#DC143C>{P0}</color>。	모든 궁병은 근접 공격을 받을 시, 방어, 마방 <color=#DC143C>+{P0}</color>
540	弓兵终极特训	궁병 궁극 특훈	所有弓兵，全属性提升<color=#DC143C>{P0}</color>。	모든 궁병의 모든 속성 <color=#DC143C>+{P0}</color>
541	刺客终极特训	암살자 궁극 특훈	所有刺客，全属性提升<color=#DC143C>{P0}</color>。	모든 암살자의 모든 속성 <color=#DC143C>+{P0}</color>
601	基础攻击训练	기초 공격 훈련		
602	基础防御训练	기초 방어 훈련		
603	综合生存训练	종합 생존 훈련		
604	综合防御训练	종합 방어 훈련		
605	对魔特训	대마물 특훈	所有僧侣，在对魔物战斗时，攻防提升<color=#DC143C>{P0}</color>。	모든 승려는 마물과 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
610	综合攻击训练	종합 공격 훈련		
611	强化生存训练	강화 생존 훈련		
618	强化攻击训练	강화 공격 훈련		
619	强化防御训练	강화 방어 훈련		
622	法力虚空	마력 공허	所有魔物、法师，在对遭受“弱化效果”的部队战斗时，攻防提升<color=#DC143C>{P0}</color>。	모든 마물과 마법사는 디버프를 보유중인 부대와 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
623	自我暗示	자아암시	所有魔物、法师，在对拥有“强化效果”的部队战斗时，攻防提升<color=#DC143C>{P0}</color>。	모든 마물과 마법사는 버프를 보유중인 부대와 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
626	核心攻击训练	핵심 공격 훈련		
627	核心生存训练	핵심 생존 훈련		
628	核心防御训练	핵심 방어 훈련		
629	虔诚信仰	경건한 신앙	所有僧侣，生命大于<color=#DC143C>{P0}</color>时，造成伤害提升<color=#DC143C>{P1}</color>。	모든 승려는 생명 <color=#DC143C>{P0}</color> 이상일 시, 주는 피해 <color=#DC143C>+{P1}</color>
630	圣光护佑	신성한 보우	所有僧侣、法师，生命<color=#DC143C>{P0}</color>时，遭受伤害降低<color=#DC143C>{P1}</color>。	모든 승려와 마법사는 생명 <color=#DC143C>{P0}</color>일 시, 받는 피해 <color=#DC143C>-{P1}</color>
631	污秽铠甲	오염된 갑옷	所有魔物，在被「魔物」和「僧侣」之外的部队攻击时，双防提升<color=#DC143C>{P0}</color>。	모든 마물은 마물 또는 승려 이외의 부대에게 공격 받을 시, 방어, 마방 <color=#DC143C>+{P0}</color>
635	联合攻击训练	연계 공격 훈련		
636	联合防御训练	연계 방어 훈련		
637	联合生存训练	연계 생존 훈련		
638	暗黑力量	어둠의 힘	所有魔物，在自身具有“弱化效果”时，伤害提升<color=#DC143C>{P0}</color>。	모든 마물은 자신이 디버프를 보유중일 때, 주는 피해 <color=#DC143C>+{P0}</color>
639	聚精会神	정신 집중	所有法师，生命小于<color=#DC143C>{P0}</color>时，伤害提升<color=#DC143C>{P1}</color>。	모든 마법사는 생명이 <color=#DC143C>{P0}</color> 이하일 시, 주는 피해 <color=#DC143C>+{P1}</color>
640	祛除不纯	불순 정화	所有僧侣，与[混合部队]交战时，攻防<color=#DC143C>{P0}</color>。	모든 승려는 [혼합부대]와 전투 시, 공격, 방어 <color=#DC143C>+{P0}</color>
645	法师终极特训	마법사 궁극 특훈	所有法师，全属性提升<color=#DC143C>{P0}</color>。	모든 마법사의 모든 속성 <color=#DC143C>+{P0}</color>
646	僧侣终极特训	승병 궁극 특훈	所有僧侣，全属性提升<color=#DC143C>{P0}</color>。	모든 승려의 모든 속성 <color=#DC143C>+{P0}</color>
647	魔物终极特训	마물 궁극 특훈	所有魔物，全属性提升<color=#DC143C>{P0}</color>。	모든 마물의 모든 속성 <color=#DC143C>+{P0}</color>
